datetime,AIZ,EQR,MNST,RJF,SO,cash,commission,total,returns,equity_curve
2012-12-27,0.0,0.0,0.0,0.0,0.0,108875.0,380.0,108875.0,-0.0025765817348983866,1.0887500000000023
2012-12-28,0.0,0.0,8645.0,0.0,0.0,100748.75,381.25,109393.75,0.004764638346727912,1.0939375000000024
2012-12-31,0.0,0.0,0.0,0.0,0.0,109232.5,382.5,109232.5,-0.0014740330229103815,1.0923250000000024
2013-01-02,0.0,0.0,0.0,0.0,0.0,109232.5,382.5,109232.5,0.0,1.0923250000000024
2013-01-03,17695.0,0.0,0.0,0.0,0.0,90841.25,383.75,108536.25,-0.006374018721534314,1.0853625000000025
2013-01-04,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.004180630895207926,1.0899000000000025
2013-01-07,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.0,1.0899000000000025
2013-01-08,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.0,1.0899000000000025
2013-01-09,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.0,1.0899000000000025
2013-01-10,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.0,1.0899000000000025
2013-01-11,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.0,1.0899000000000025
2013-01-14,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.0,1.0899000000000025
2013-01-15,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.0,1.0899000000000025
2013-01-16,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.0,1.0899000000000025
2013-01-17,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.0,1.0899000000000025
2013-01-18,0.0,0.0,0.0,0.0,0.0,108990.0,385.0,108990.0,0.0,1.0899000000000025
2013-01-22,0.0,29255.0,0.0,0.0,0.0,81623.75,386.25,110878.75,0.017329571520322995,1.1087875000000027
2013-01-23,0.0,0.0,0.0,0.0,0.0,108852.5,387.5,108852.5,-0.01827446647802211,1.0885250000000026
2013-01-24,0.0,28985.0,0.0,0.0,0.0,81771.25,388.75,110756.25,0.0174892629935004,1.1075625000000027
2013-01-25,0.0,0.0,0.0,0.0,0.0,109385.0,390.0,109385.0,-0.012380791151740844,1.0938500000000027
2013-01-28,0.0,29075.0,7910.0,0.0,0.0,73947.5,392.5,110932.5,0.014147277963157734,1.1093250000000028
2013-01-29,0.0,0.0,0.0,0.0,0.0,109470.0,395.0,109470.0,-0.013183692786153722,1.0947000000000027
2013-01-30,0.0,28535.0,0.0,0.0,0.0,81238.75,396.25,109773.75,0.002774732803507707,1.0977375000000025
2013-01-31,0.0,0.0,0.0,0.0,0.0,109982.5,397.5,109982.5,0.0019016385975700878,1.0998250000000025
2013-02-01,0.0,0.0,0.0,0.0,0.0,109982.5,397.5,109982.5,0.0,1.0998250000000025
