datetime,AIZ,EQR,MNST,RJF,SO,cash,commission,total,returns,equity_curve
2/10/2012,0,117180,0,69060,0,-101630,6690,84610,-0.002358212,0.8461
2/13/2012,0,0,36420,0,88840,-41430,6710,83830,-0.009218768,0.8383
2/14/2012,0,0,0,0,0,85600,6720,85600,0.02111416,0.856
2/15/2012,0,0,0,0,0,85600,6720,85600,0,0.856
2/16/2012,0,0,35320,69900,0,-23270,6730,81950,-0.042640187,0.8195
2/17/2012,88060,117020,0,0,88760,-202915,6755,90925,0.109517999,0.90925
2/21/2012,0,0,35760,0,0,47525,6775,83285,-0.084025296,0.83285
2/22/2012,87120,113820,0,0,0,-118010,6790,82930,-0.004262472,0.8293
2/23/2012,0,0,0,0,88480,-5605,6805,82875,-0.00066321,0.82875
2/24/2012,0,116120,37580,70760,0,-139905,6825,84555,0.020271493,0.84555
2/27/2012,0,0,0,0,88860,-4665,6845,84195,-0.004257584,0.84195
2/28/2012,0,114060,38000,70040,0,-143705,6865,78395,-0.068887701,0.78395
2/29/2012,84940,0,0,0,88380,-88350,6890,84970,0.083870145,0.8497
3/1/2012,0,114820,38300,72280,0,-147755,6915,77645,-0.086206897,0.77645
3/2/2012,0,0,0,0,0,85910,6930,85910,0.106446004,0.8591
3/5/2012,0,0,38440,70500,88400,-117705,6945,79635,-0.073041555,0.79635
3/6/2012,0,116560,0,0,0,-34965,6965,81595,0.024612294,0.81595
3/7/2012,84680,0,37820,69040,0,-107505,6985,84035,0.029903793,0.84035
3/8/2012,0,0,0,0,0,89160,7000,89160,0.060986494,0.8916
3/9/2012,0,0,0,0,0,89160,7000,89160,0,0.8916
3/12/2012,0,0,39720,0,90780,-39550,7010,90950,0.020076267,0.9095
3/13/2012,85740,121640,0,73920,0,-187315,7035,93985,0.033369984,0.93985
3/14/2012,0,0,39500,0,89700,-36540,7060,92660,-0.014097994,0.9266
3/15/2012,81700,0,0,0,0,10765,7075,92465,-0.002104468,0.92465
3/16/2012,0,0,0,0,0,93340,7080,93340,0.00946304,0.9334
3/19/2012,0,122060,39800,0,88060,-160715,7095,89205,-0.044300407,0.89205
3/20/2012,81700,0,0,74680,0,-58300,7120,98080,0.099489939,0.9808
3/21/2012,0,0,40260,0,87920,-36500,7140,91680,-0.065252855,0.9168
3/22/2012,0,0,0,73660,0,23225,7155,96885,0.05677356,0.96885
3/23/2012,0,0,0,0,0,94900,7160,94900,-0.020488208,0.949
3/26/2012,0,0,40960,75900,0,-19050,7170,97810,0.030663857,0.9781
3/27/2012,0,0,0,0,0,93060,7180,93060,-0.048563542,0.9306
3/28/2012,0,0,0,0,0,93060,7180,93060,0,0.9306
3/29/2012,80720,122640,41720,72600,89680,-306165,7205,101195,0.08741672,1.01195
3/30/2012,0,0,0,0,0,97250,7230,97250,-0.03898414,0.9725
4/2/2012,0,125140,42200,0,0,-67300,7240,100040,0.028688946,1.0004
